city,sunrise,sunset,
Juneau,8:44 AM,3:07 PM,
Ketchikan,8:12 AM,3:17 PM,
Anchorage,10:14 AM,3:41 PM,
Fairbanks,10:58 AM,2:39 PM,
Nome,12:02 PM,3:57 PM,
Bethel,10:56 AM,4:33 PM,
Unalaska,10:22 AM,5:45 PM,
Adak,10:51 AM,6:37 PM,after adjust
Dillingham,10:27 AM,4:37 PM,
Homer,10:04 AM,4:03 PM,
Attu,11:39 AM,7:14 PM,after adjust
Sitka,8:38 AM,3:20 PM,
Metlakatla,8:10 AM,3:18 PM,
Kodiak,9:52 AM,4:23 PM,
Huslia,11:51 AM,2:55 PM,
Wales,12:36 PM,3:44 PM,
Shishmaref,12:46 PM,3:18 PM,
Gambell,12:15 PM,4:34 PM,
Fort Yukon,11:34 AM,1:44 PM,
Diomede,12:44 PM,3:43 PM,
,,,
,,,
,,https://www.sunrisesunset.com/search/results.asp?s=dillingham%2C+ak&scountry=us&back=search,